Rank,Release Group,Worldwide,Domestic,%,Foreign,%
42,The Addams Family,"$203,044,905","$100,044,905",49.30%,"$103,000,000",50.70%
43,Rocketman,"$195,320,400","$96,368,160",49.30%,"$98,952,240",50.70%
44,Downton Abbey,"$194,694,725","$96,853,865",49.70%,"$97,840,860",50.30%
45,Weathering with You,"$192,951,441","$8,056,636",4.20%,"$184,894,805",95.80%
46,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
47,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%
48,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.30%,"$188,786,919",99.70%
49,Abominable,"$188,623,517","$60,716,390",32.20%,"$127,907,127",67.80%
50,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.20%,"$172,389,935",97.80%
51,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
52,Spies in Disguise,"$171,616,764","$66,757,013",38.90%,"$104,859,751",61.10%
53,Hustlers,"$157,563,598","$104,963,598",66.60%,"$52,600,000",33.40%
54,The Climbers,"$156,892,866","$487,157",0.30%,"$156,405,709",99.70%
55,Escape Room,"$155,712,077","$57,005,601",36.60%,"$98,706,476",63.40%
56,Yesterday,"$154,608,856","$73,286,650",47.40%,"$81,322,206",52.60%
57,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.20%,"$106,124,931",71.80%
58,Angel Has Fallen,"$146,661,977","$69,030,436",47.10%,"$77,631,541",52.90%
59,Ad Astra,"$127,461,872","$50,188,370",39.40%,"$77,273,502",60.60%
60,Midway,"$127,420,861","$56,846,802",44.60%,"$70,574,059",55.40%
61,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
62,Last Christmas,"$123,446,172","$35,150,750",28.50%,"$88,295,422",71.50%
63,The Curse of La Llorona,"$123,133,739","$54,733,739",44.50%,"$68,400,000",55.50%
64,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.90%
65,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.50%,"$49,687,317",40.50%
66,Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.10%,"$60,119,165",49.90%
67,Extreme Job,"$119,932,733","$1,565,885",1.30%,"$118,366,848",98.70%
68,Wonder Park,"$119,559,110","$45,216,793",37.80%,"$74,342,317",62.20%
69,P Storm,"$117,991,727","$326,711",0.30%,"$117,665,016",99.70%
70,Detective Conan: The Fist of Blue Sapphire,"$115,570,314",-,-,"$115,570,314",100%
71,The Gentlemen,"$115,171,795","$36,471,795",31.70%,"$78,700,000",68.30%
72,Pet Sematary,"$113,118,226","$54,724,696",48.40%,"$58,393,530",51.60%
73,Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%
74,Good Boys,"$111,173,598","$83,140,306",74.80%,"$28,033,292",25.20%
75,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.90%,"$35,598,430",34.10%
76,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.30%,"$99,185,276",99.70%
77,The Hustle,"$97,409,779","$35,417,038",36.40%,"$61,992,741",63.60%
78,The New King of Comedy,"$95,618,308",-,-,"$95,618,308",100%
79,Adoring,"$94,975,692",-,-,"$94,975,692",100%
80,Five Feet Apart,"$92,554,209","$45,729,221",49.40%,"$46,824,988",50.60%
81,Crawl,"$91,542,097","$39,014,193",42.60%,"$52,527,904",57.40%
82,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%
83,Jojo Rabbit,"$90,335,025","$33,370,906",36.90%,"$56,964,119",63.10%
84,Serial (Bad) Weddings 2,"$87,761,988",-,-,"$87,761,988",100%
85,One Piece: Stampede,"$81,562,741","$1,298,528",1.60%,"$80,264,213",98.40%
86,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
87,A Dog's Journey,"$78,870,908","$22,782,371",28.90%,"$56,088,537",71.10%
88,Cold Pursuit,"$76,419,755","$32,138,862",42.10%,"$44,280,893",57.90%
89,Cats,"$75,558,925","$27,166,770",36%,"$48,392,155",64%
90,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
91,Charlie's Angels,"$73,279,888","$17,803,077",24.30%,"$55,476,811",75.70%
92,Doctor Sleep,"$72,381,712","$31,581,712",43.60%,"$40,800,000",56.40%
93,What Men Want,"$72,216,294","$54,611,903",75.60%,"$17,604,391",24.40%
94,Exit,"$69,501,772","$470,699",0.70%,"$69,031,073",99.30%
95,After,"$69,497,587","$12,138,565",17.50%,"$57,359,022",82.50%
96,Playing with Fire,"$69,412,425","$44,451,847",64%,"$24,960,578",36%
97,A Beautiful Day in the Neighborhood,"$67,925,733","$61,704,055",90.80%,"$6,221,678",9.20%
98,War,"$67,179,155","$4,654,000",6.90%,"$62,525,155",93.10%
99,Doraemon: Nobita's Chronicle of the Moon Exploration,"$65,406,606",-,-,"$65,406,606",100%
100,Happy Death Day 2U,"$64,600,152","$28,148,130",43.60%,"$36,452,022",56.40%
101,White Snake,"$62,098,770","$34,730",<0.1%,"$62,064,040",99.90%
102,Bombshell,"$61,404,394","$31,762,808",51.70%,"$29,641,586",48.30%
103,Ashfall,"$61,354,854","$372,562",0.60%,"$60,982,292",99.40%
104,Ma,"$61,220,784","$45,896,028",75%,"$15,324,756",25%
105,My Best Summer,"$60,011,073",-,-,"$60,011,073",100%
106,Ready or Not,"$57,615,777","$28,714,231",49.80%,"$28,901,546",50.20%
107,Jade Dynasty,"$57,149,764",-,-,"$57,149,764",100%
108,The Perfect Secret,"$56,573,047",-,-,"$56,573,047",100%
109,The Big Shot,"$56,040,681",-,-,"$56,040,681",100%
110,Hellboy,"$55,064,690","$21,903,748",39.80%,"$33,160,942",60.20%
111,Les Misérables,"$54,465,930","$330,181",0.60%,"$54,135,749",99.40%
112,Long Shot,"$53,873,809","$30,316,271",56.30%,"$23,557,538",43.70%
113,Just Mercy,"$50,901,502","$36,001,502",70.70%,"$14,900,000",29.30%
114,Son of a Rich,"$50,803,834",-,-,"$50,803,834",100%
115,Kingdom,"$50,574,061",-,-,"$50,574,061",100%
116,Breakthrough,"$50,444,358","$40,713,082",80.70%,"$9,731,276",19.30%
117,Uncut Gems,"$50,023,780","$50,023,780",100%,-,-
118,21 Bridges,"$49,939,757","$28,539,757",57.10%,"$21,400,000",42.90%
119,Song of Youth,"$49,615,508",-,-,"$49,615,508",100%
120,The Grudge,"$49,511,319","$21,221,803",42.90%,"$28,289,516",57.10%
121,Little,"$48,987,096","$40,860,481",83.40%,"$8,126,615",16.60%
122,Isn't It Romantic,"$48,791,187","$48,791,187",100%,-,-
123,The Legend of Hei,"$48,507,082",-,-,"$48,507,082",100%
124,Countdown,"$48,021,766","$25,621,766",53.40%,"$22,400,000",46.60%
125,Midsommar,"$47,863,365","$27,426,361",57.30%,"$20,437,004",42.70%
126,Queen & Slim,"$47,834,125","$43,808,310",91.60%,"$4,025,815",8.40%
127,47 Meters Down: Uncaged,"$47,582,563","$22,260,900",46.80%,"$25,321,663",53.20%
128,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356","$196,634",0.40%,"$45,536,722",99.60%
129,Judy,"$45,701,880","$24,313,888",53.20%,"$21,387,992",46.80%
130,Child's Play,"$44,907,074","$29,208,403",65%,"$15,698,671",35%
131,Richard Jewell,"$44,655,962","$22,345,542",50%,"$22,310,420",50%
132,Harriet,"$43,347,017","$43,082,155",99.40%,"$264,862",0.60%
133,A Shaun the Sheep Movie: Farmageddon,"$43,100,248",-,-,"$43,100,248",100%
134,Fighting with My Family,"$41,503,392","$22,958,886",55.30%,"$18,544,506",44.70%
135,Masquerade Hotel,"$40,396,244",-,-,"$40,396,244",100%
136,The Last Wish,"$39,756,292",-,-,"$39,756,292",100%
137,Uri: The Surgical Strike,"$39,346,577","$4,186,168",10.60%,"$35,160,409",89.40%
138,Overcomer,"$38,026,103","$34,746,945",91.40%,"$3,279,158",8.60%
139,T-34,"$37,410,850",-,-,"$37,410,850",100%
140,Pain and Glory,"$37,359,689","$4,567,338",12.20%,"$32,792,351",87.80%
141,A Witness Out of the Blue,"$37,092,694",-,-,"$37,092,694",100%
142,The Intruder,"$36,599,361","$35,419,122",96.80%,"$1,180,239",3.20%
143,The Queen's Corgi,"$35,515,687",-,-,"$35,515,687",100%
144,Warrior of the Hornor,"$34,291,831",-,-,"$34,291,831",100%
145,The Battle: Roar to Victory,"$34,148,707",-,-,"$34,148,707",100%
146,The Bad Guys: The Movie,"$34,024,386","$166,972",0.50%,"$33,857,414",99.50%
147,The Good Liar,"$33,856,058","$17,156,058",50.70%,"$16,700,000",49.30%
148,The Art of Racing in the Rain,"$33,766,787","$26,395,642",78.20%,"$7,371,145",21.80%
149,Brightburn,"$33,224,654","$17,300,439",52.10%,"$15,924,215",47.90%
150,Bharat,"$33,185,983","$2,971,549",9%,"$30,214,434",91%
151,Fly Me to the Saitama,"$32,802,347",-,-,"$32,802,347",100%
152,UglyDolls,"$32,450,241","$20,150,241",62.10%,"$12,300,000",37.90%
153,Stuber,"$32,390,945","$22,370,452",69.10%,"$10,020,493",30.90%
154,Hit Me Anyone One More Time!,"$32,333,512",-,-,"$32,333,512",100%
155,Somewhere Winter,"$32,218,990",-,-,"$32,218,990",100%
156,The Kid Who Would Be King,"$32,140,970","$16,790,790",52.20%,"$15,350,180",47.80%
157,Two Tigers,"$32,001,580",-,-,"$32,001,580",100%
158,Anna,"$31,626,978","$7,743,794",24.50%,"$23,883,184",75.50%
159,My Dear Liar,"$31,177,968","$90,545",0.30%,"$31,087,423",99.70%
160,The Wild Goose Lake,"$31,064,835","$12,573",<0.1%,"$31,052,262",100%
161,My Hero Academia: Heroes Rising,"$29,971,229","$13,304,000",44.40%,"$16,667,229",55.60%
162,Fall In Love At First Kiss,"$29,206,238",-,-,"$29,206,238",100%
163,Gully Boy,"$28,299,498","$5,566,534",19.70%,"$22,732,964",80.30%
164,Kim Ji-young: Born 1982,"$27,696,393",-,-,"$27,696,393",100%
165,Pokémon: Mewtwo Strikes Back - Evolution,"$27,347,118",-,-,"$27,347,118",100%
166,Almost a Comedy,"$26,990,962",-,-,"$26,990,962",100%
167,Total Dhamaal,"$26,911,995","$2,167,632",8.10%,"$24,744,363",91.90%
168,Missing Link,"$26,565,710","$16,649,539",62.70%,"$9,916,171",37.30%
169,No Manches Frida 2,"$26,493,648","$9,270,920",35%,"$17,222,728",65%
170,The Confidence Man JP,"$26,228,317",-,-,"$26,228,317",100%
171,The Confidence Man JP: The Movie,"$25,958,189",-,-,"$25,958,189",100%
172,"The Gangster, the Cop, the Devil","$25,775,371","$216,494",0.80%,"$25,558,877",99.20%
173,Bodies at Rest,"$25,293,853",-,-,"$25,293,853",100%
174,Booksmart,"$24,959,607","$22,680,962",90.90%,"$2,278,645",9.10%
175,Super 30,"$24,701,637","$2,269,878",9.20%,"$22,431,759",90.80%
176,Skyfire,"$24,444,590","$1,105",<0.1%,"$24,443,485",100%
177,Start-Up,"$24,106,579",-,-,"$24,106,579",100%
178,Pinocchio,"$23,841,090","$1,831,718",7.70%,"$22,009,372",92.30%
179,A Rainy Day in New York,"$23,805,899",-,-,"$23,805,899",100%
180,The Peanut Butter Falcon,"$23,712,090","$20,457,151",86.30%,"$3,254,939",13.70%
181,Little White Lies 2,"$23,623,665",-,-,"$23,623,665",100%
182,Ossan's Love: Love or Dead,"$23,422,744",-,-,"$23,422,744",100%
183,Only Cloud Knows,"$23,414,998",-,-,"$23,414,998",100%
184,Dark Waters,"$23,108,017","$11,136,084",48.20%,"$11,971,933",51.80%
185,The Farewell,"$23,076,657","$17,695,781",76.70%,"$5,380,876",23.30%
186,The Knight of Shadows: Between Yin and Yang,"$22,936,257",-,-,"$22,936,257",100%
187,Black and Blue,"$22,741,061","$22,055,313",97%,"$685,748",3%
188,Late Night,"$22,386,555","$15,499,454",69.20%,"$6,887,101",30.80%
189,Unplanned,"$21,515,607","$19,005,109",88.30%,"$2,510,498",11.70%
190,Crazy Romance,"$21,386,368",-,-,"$21,386,368",100%
191,Shaft,"$21,360,215","$21,360,215",100%,-,-
192,Hotel Mumbai,"$21,314,816","$9,651,611",45.30%,"$11,663,205",54.70%
193,Integrity,"$21,290,004",-,-,"$21,290,004",100%
194,The Secret Mission,"$21,083,522",-,-,"$21,083,522",100%
195,This Is Tomas,"$20,084,169",-,-,"$20,084,169",100%
196,The Specials,"$19,363,826",-,-,"$19,363,826",100%
197,Always Miss You,"$19,015,465","$91,884",0.50%,"$18,923,581",99.50%
198,An Officer and a Spy,"$18,899,214",-,-,"$18,899,214",100%
199,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,-,"$18,738,951",100%
200,Greta,"$18,653,107","$10,532,219",56.50%,"$8,120,888",43.50%
