Rank,Movie,Distributor,Domestic,Opening,Max
27,Spy!,20th Cent…,"$110,825,712","$29,085,719","3,715"
28,Trainwreck,Universal,"$110,212,700","$30,097,040","3,171"
29,Creed,Warner Bros.,"$109,767,581","$29,632,823","3,502"
30,Tomorrowland,Walt Disney,"$93,436,322","$33,028,165","3,972"
31,Get Hard,Warner Bros.,"$90,411,453","$33,803,253","3,212"
32,Terminator: Genisys,Paramount…,"$89,760,956","$27,018,486","3,783"
33,Taken 3,20th Cent…,"$89,256,424","$39,201,657","3,594"
34,Sisters,Universal,"$87,044,645","$13,922,855","2,978"
35,Alvin and the Chipmunks: The Road Chip,20th Cent…,"$85,886,987","$14,287,159","3,705"
36,Maze Runner: The Scorch Trials,20th Cent…,"$81,697,192","$30,316,510","3,792"
37,Ted 2,Universal,"$81,476,385","$33,507,870","3,448"
38,Goosebumps,Sony Pict…,"$80,069,458","$23,618,556","3,618"
39,Pixels,Sony Pict…,"$78,765,986","$24,011,616","3,723"
40,Paddington,Weinstein…,"$76,223,578","$18,966,676","3,355"
41,The Intern,Warner Bros.,"$75,764,672","$17,728,313","3,320"
42,Bridge of Spies,Walt Disney,"$72,313,754","$15,371,203","2,873"
43,Paul Blart: Mall Cop 2,Sony Pict…,"$71,091,594","$23,762,435","3,633"
44,The Big Short,Paramount…,"$70,259,870","$705,527","2,529"
45,War Room,Sony Pict…,"$67,790,117","$11,351,389","1,945"
46,Magic Mike XXL,Warner Bros.,"$66,013,057","$12,857,184","3,355"
47,The Visit,Universal,"$65,206,105","$25,427,560","3,148"
48,The Wedding Ringer,Sony Pict…,"$64,460,211","$20,649,306","3,003"
49,Black Mass,Warner Bros.,"$62,575,678","$22,635,037","3,188"
50,Vacation,Warner Bros.,"$58,884,188","$14,681,108","3,430"
51,The Perfect Guy,Sony Pict…,"$57,027,435","$25,888,154","2,230"
52,Joy,20th Cent…,"$56,451,232","$17,015,168","2,924"
53,Fantastic Four,20th Cent…,"$56,117,548","$25,685,737","4,004"
54,The Hateful Eight,Weinstein…,"$54,117,416","$4,610,676","2,938"
55,Focus,Warner Bros.,"$53,862,963","$18,685,137","3,323"
56,Southpaw,Weinstein…,"$52,421,953","$16,701,294","2,774"
57,Insidious Chapter 3,Focus Fea…,"$52,218,558","$22,692,741","3,014"
58,Selma,Paramount…,"$52,076,908","$571,450","2,235"
59,Jupiter Ascending,Warner Bros.,"$47,482,519","$18,372,372","3,885"
60,Poltergeist,20th Cent…,"$47,425,125","$22,620,386","3,242"
61,Sicario,Lionsgate,"$46,889,293","$401,288","2,620"
62,The Man From U.N.C.L.E.,Warner Bros.,"$45,445,109","$13,421,036","3,673"
63,Spotlight,Open Road,"$45,055,776","$295,009","1,227"
64,"McFarland, USA",Walt Disney,"$44,480,275","$11,020,798","2,792"
65,The Gift,STX Enter…,"$43,787,265","$11,854,273","2,503"
66,Everest,Universal,"$43,482,270","$7,222,035","3,009"
67,The Night Before,Sony Pict…,"$43,035,725","$9,880,536","2,960"
68,Krampus,Universal,"$42,725,475","$16,293,325","2,919"
69,Max,Warner Bros.,"$42,656,255","$12,155,254","2,870"
70,The Age of Adaline,Lionsgate,"$42,629,776","$13,203,458","3,070"
71,Brooklyn,Fox Searc…,"$38,322,743","$187,281",962
72,The Longest Ride,20th Cent…,"$37,446,117","$13,019,686","3,371"
73,The Boy Next Door,Universal,"$36,006,065","$14,910,105","2,615"
74,Pan,Warner Bros.,"$35,088,320","$15,315,435","3,515"
75,Hot Pursuit,Warner Bros.,"$34,580,201","$13,942,258","3,037"
76,Concussion,Sony Pict…,"$34,531,832","$10,513,749","2,841"
77,The DUFF,CBS Films,"$34,030,343","$10,809,149","2,622"
78,Woman in Gold,Weinstein…,"$33,307,793","$2,091,551","2,011"
79,The Second Best Exotic Marigold Hotel,Fox Searc…,"$33,078,266","$8,540,370","2,022"
80,Unfriended,Universal,"$32,789,645","$15,845,115","2,775"
81,Entourage,Warner Bros.,"$32,363,404","$10,283,250","3,108"
82,Paper Towns,20th Cent…,"$32,000,304","$12,650,140","3,031"
83,Chappie,Sony Pict…,"$31,569,268","$13,346,782","3,201"
84,Crimson Peak,Universal,"$31,090,320","$13,143,310","2,991"
85,A Walk in the Woods,Broad Gre…,"$29,499,394","$8,246,267","2,158"
86,Point Break,Warner Bros.,"$28,782,481","$9,800,252","2,910"
87,Sinister 2,Focus Fea…,"$27,740,955","$10,542,116","2,799"
88,The Last Witch Hunter,Lionsgate,"$27,367,660","$10,812,861","3,082"
89,No Escape,Weinstein…,"$27,288,872","$8,111,264","3,415"
90,Ricki and the Flash,Sony Pict…,"$26,839,498","$6,618,610","2,064"
91,The Woman in Black 2: Angel of Death,Relativity,"$26,501,323","$15,027,415","2,602"
92,Run All Night,Warner Bros.,"$26,461,644","$11,012,305","3,171"
93,Love the Coopers,CBS Films,"$26,302,731","$8,317,545","2,603"
94,The Lazarus Effect,Lionsgate,"$25,801,570","$10,203,437","2,666"
95,Ex Machina,A24,"$25,440,971","$237,264","2,004"
96,In the Heart of the Sea,Warner Bros.,"$25,020,758","$11,053,366","3,103"
97,The Gallows,Warner Bros.,"$22,764,410","$9,808,463","2,720"
98,Hitman: Agent 47,20th Cent…,"$22,467,450","$8,326,530","3,273"
99,Project Almanac,Paramount…,"$22,348,241","$8,310,252","2,900"
100,Black or White,Relativity,"$21,571,189","$6,213,362","1,823"
101,Aloha,Sony Pict…,"$21,052,030","$9,670,235","2,815"
102,Secret in Their Eyes,STX Enter…,"$20,180,155","$6,652,996","2,392"
103,Shaun the Sheep,Lionsgate,"$19,375,982","$4,038,962","2,360"
104,Still Alice,Sony Pict…,"$18,656,400","$212,000","1,318"
105,Paranormal Activity: The Ghost Dimension,Paramount…,"$18,297,124","$8,070,493","1,656"
106,Steve Jobs,Universal,"$17,766,658","$521,522","2,493"
107,Mr. Holmes,Miramax/R…,"$17,737,646","$2,434,908",898
108,Seventh Son,Universal,"$17,725,785","$7,217,640","2,875"
109,Dope,Open Road,"$17,506,470","$6,100,010","2,002"
110,Monkey Kingdom,Walt Disney,"$16,432,322","$4,577,861","2,012"
111,The Transporter Refueled,EuropaCorp,"$16,029,670","$7,355,622","3,434"
112,Room,A24,"$14,677,674","$118,298",862
113,It Follows,RADiUS-TWC,"$14,674,077","$160,089","1,655"
114,American Ultra,Lionsgate,"$14,439,985","$5,454,284","2,778"
115,Woodlawn,Pure Flix…,"$14,394,097","$4,002,226","1,553"
116,Burnt,Weinstein…,"$13,651,946","$5,002,341","3,003"
117,Do You Believe?,Pure Flix…,"$12,985,600","$3,591,282","1,356"
118,Carol,Weinstein…,"$12,711,491","$253,510",790
119,Love & Mercy,Roadside …,"$12,551,031","$2,122,177",791
120,Strange Magic,Walt Disney,"$12,429,583","$5,504,441","3,020"
121,Hot Tub Time Machine 2,Paramount…,"$12,314,651","$5,963,324","2,901"
122,Self/Less,Focus Fea…,"$12,279,691","$5,403,460","2,353"
123,Far from the Madding Crowd,Fox Searc…,"$12,236,500","$164,985",902
124,The 33,Warner Bros.,"$12,227,722","$5,787,266","2,452"
125,The Danish Girl,Focus Fea…,"$11,114,018","$187,318",794
126,The Gunman,Open Road,"$10,664,749","$5,028,702","2,816"
127,Unfinished Business,20th Cent…,"$10,219,501","$4,772,613","2,777"
128,The Walk,Sony Pict…,"$10,161,183","$1,560,299","2,509"
129,Un gallo con muchos huevos,Lionsgate,"$9,080,818","$3,424,702",616
130,Amy,A24,"$8,413,144","$222,500",435
131,Bajrangi Bhaijaan,Eros Ente…,"$8,178,001","$2,822,564",257
132,Doragon bôru Z: Fukkatsu no 'F',FUNimation,"$8,008,363","$1,817,938",913
133,Blackhat,Universal,"$8,005,980","$3,901,815","2,568"
134,Trumbo,Bleecker …,"$7,857,741","$74,177","1,187"
135,Mortdecai,Lionsgate,"$7,696,134","$4,200,586","2,648"
136,While We're Young,A24,"$7,582,065","$227,688",762
137,I'll See You in My Dreams,Bleecker …,"$7,449,681","$52,091",290
138,The Green Inferno,High Top …,"$7,192,291","$3,520,626","1,543"
139,Our Brand is Crisis,Warner Bros.,"$7,002,261","$3,249,242","2,202"
140,Grandma,Sony Pict…,"$6,980,524","$115,540","1,061"
141,Me and Earl and the Dying Girl,Fox Searc…,"$6,758,416","$196,496",870
142,Baahubali: The Beginning,Bluesky C…,"$6,738,000","$3,215,000",239
143,Bajirao Mastani,Eros Ente…,"$6,557,047","$1,741,037",331
144,Little Boy,Open Road,"$6,485,961","$2,750,356","1,045"
145,The Loft,Open Road,"$6,002,684","$2,747,342","1,841"
146,Victor Frankenstein,20th Cent…,"$5,775,076","$2,469,341","2,797"
147,Danny Collins,Bleecker …,"$5,637,066","$72,459",739
148,Dilwale,UTV Commu…,"$4,871,263","$1,920,402",267
149,90 Minutes in Heaven,Samuel Go…,"$4,816,142","$2,035,273",899
150,True Story,Fox Searc…,"$4,719,695","$1,950,214",856
151,Suffragette,Focus Fea…,"$4,702,420","$76,224",517
152,Prem Ratan Dhan Payo,Fox Inter…,"$4,364,639","$2,425,585",287
153,45 Years,IFC Films,"$4,250,507","$65,775",251
154,The Water Diviner,Warner Bros.,"$4,200,117","$1,220,335",385
155,Irrational Man,Sony Pict…,"$4,030,360","$175,312",925
156,Anomalisa,Paramount…,"$3,759,286","$135,222",573
157,Scouts Guide to the Zombie Apocalypse,Paramount…,"$3,703,046","$1,841,007","1,509"
158,A La Mala,Lionsgate,"$3,629,842","$1,402,118",384
159,Spare Parts,Lionsgate,"$3,618,912","$1,335,768",440
160,We Are Your Friends,Warner Bros.,"$3,591,417","$1,767,308","2,333"
161,Mommy,Roadside …,"$3,498,695","$26,718",83
162,What We Do in the Shadows,Unison/Pa…,"$3,469,224","$83,555",144
163,Learning to Drive,Broad Gre…,"$3,447,633","$66,015",339
164,Phoenix,IFC Films,"$3,166,858","$30,296",197
165,Relatos salvajes,Sony Pict…,"$3,107,072","$85,100",122
166,Dil Dhadakne Do,Eros Ente…,"$3,066,100","$1,326,267",238
167,Ladrones,Lionsgate,"$3,063,505","$1,411,031",375
168,Tanu Weds Manu Returns,Eros Ente…,"$3,043,479","$1,006,476",136
169,Rock the Kasbah,Open Road,"$3,020,665","$1,470,592","2,012"
170,The End of the Tour,A24,"$3,002,883","$123,238",355
171,Youth,Fox Searc…,"$2,703,296","$78,085",149
172,He Named Me Malala,Fox Searc…,"$2,668,936","$61,808",477
173,Chi-raq,Amazon St…,"$2,653,031","$1,198,453",305
174,Captive,Paramount…,"$2,583,301","$1,395,378",807
175,Truth,Sony Pict…,"$2,541,854","$66,232","1,122"
176,Mistress America,Fox Searc…,"$2,500,431","$93,206",512
177,Pawn Sacrifice,Bleecker …,"$2,436,308","$202,053",781
178,2015 Oscar Shorts,ShortsHD,"$2,412,493","$416,850",280
179,Meru,Music Box…,"$2,334,228","$91,279",176
180,My All-American,Clarius E…,"$2,246,000","$1,392,000","1,565"
181,Jem and the Holograms,Universal,"$2,184,640","$1,375,320","2,417"
182,Tamasha,UTV Commu…,"$2,065,487","$1,006,059",182
183,Cake,Cinelou R…,"$1,951,776","$916,179",482
184,Old Fashioned,Freestyle…,"$1,914,090","$38,965",298
185,Assassination,Well Go USA,"$1,904,682","$287,700",33
186,Game of Thrones: The IMAX Experience,Warner Bros.,"$1,896,092",,205
187,Legend,Universal,"$1,872,994","$86,836",107
188,Clouds of Sils Maria,IFC Films,"$1,841,555","$61,810",183
189,Testament of Youth,Sony Pict…,"$1,822,250","$53,008",104
190,Piku,Yash Raj …,"$1,801,806","$938,938",124
191,The Vatican Tapes,Lionsgate,"$1,784,763","$832,271",427
192,Saul fia,Sony Pict…,"$1,777,043","$37,930",180
193,Meet the Patels,Alchemy,"$1,700,680","$72,180",90
194,Astérix: Le domaine des dieux,Mongrel M…,"$1,656,287",,78
195,The Letters,Freestyle…,"$1,647,416","$700,683",886
196,The Diary of a Teenage Girl,Sony Pict…,"$1,477,002","$52,334",795
197,Infinitely Polar Bear,Sony Pict…,"$1,430,655","$47,398",110
198,Lao pao er,China Lio…,"$1,414,696","$286,847",32
199,99 Homes,Broad Gre…,"$1,411,927","$32,253",691
200,Welcome Back,Eros Ente…,"$1,388,365","$714,235",135
